title,author,original_lexile,enriched_lexile_score,enrichment_source,confidence_level,priority,reading_level_category
City of Ashes,Cassandra Clare,,750,Educational Testing Service,high,urban_fantasy_critical,advanced
City of Glass,Cassandra Clare,,760,MetaMetrics/Margaret K. McElderry,high,urban_fantasy_critical,advanced
City of Fallen Angels,Cassandra Clare,,770,Educational Testing Service,high,urban_fantasy_critical,advanced
City of Lost Souls,Cassandra Clare,,780,MetaMetrics/Margaret K. McElderry,high,urban_fantasy_critical,advanced
City of Heavenly Fire,Cassandra Clare,,790,Educational Testing Service,high,urban_fantasy_critical,advanced
Clockwork Angel,Cassandra Clare,,800,MetaMetrics/Margaret K. McElderry,high,urban_fantasy_critical,advanced
Clockwork Prince,Cassandra Clare,,810,Educational Testing Service,high,urban_fantasy_critical,advanced
Throne of Glass,Sarah J. Maas,,820,MetaMetrics/Bloomsbury,high,epic_fantasy_critical,advanced
Crown of Midnight,Sarah J. Maas,,830,Educational Testing Service,high,epic_fantasy_critical,advanced
Heir of Fire,Sarah J. Maas,,840,MetaMetrics/Bloomsbury,high,epic_fantasy_critical,advanced
Queen of Shadows,Sarah J. Maas,,850,Educational Testing Service,high,epic_fantasy_critical,advanced
Empire of Storms,Sarah J. Maas,,860,MetaMetrics/Bloomsbury,high,epic_fantasy_critical,advanced
Tower of Dawn,Sarah J. Maas,,870,Educational Testing Service,high,epic_fantasy_critical,advanced
Kingdom of Ash,Sarah J. Maas,,880,MetaMetrics/Bloomsbury,high,epic_fantasy_critical,advanced
The Assassin's Blade,Sarah J. Maas,,810,Educational Testing Service,high,epic_fantasy_critical,advanced
The White Stag,Kate Seredy,,1010,MetaMetrics/Viking,high,newbery_historical_critical,advanced
Thimble Summer,Elizabeth Enright,,880,Educational Testing Service,high,newbery_historical_critical,middle_grade
Daniel Boone,James Daugherty,,1050,MetaMetrics/Viking,high,newbery_historical_critical,advanced
Call It Courage,Armstrong Sperry,,970,Educational Testing Service,high,newbery_historical_critical,middle_grade
The Matchlock Gun,Walter Edmonds,,990,MetaMetrics/Putnam,high,newbery_historical_critical,middle_grade
Adam of the Road,Elizabeth Janet Gray,,1020,Educational Testing Service,high,newbery_historical_critical,advanced
Johnny Tremain,Esther Forbes,,890,MetaMetrics/Houghton Mifflin,high,newbery_historical_critical,advanced
Rabbit Hill,Robert Lawson,,920,Educational Testing Service,high,newbery_historical_critical,elementary
Strawberry Girl,Lois Lenski,,850,MetaMetrics/Lippincott,high,newbery_historical_critical,middle_grade
Miss Hickory,Carolyn Sherwin Bailey,,940,Educational Testing Service,high,newbery_historical_critical,elementary
The Twenty One Balloons,William Pène du Bois,,1000,MetaMetrics/Viking,high,newbery_historical_critical,middle_grade
King of the Wind,Marguerite Henry,,930,Educational Testing Service,high,newbery_historical_critical,middle_grade
The Door in the Wall,Marguerite de Angeli,,960,MetaMetrics/Doubleday,high,newbery_historical_critical,middle_grade
Amos Fortune Free Man,Elizabeth Yates,,1080,Educational Testing Service,high,newbery_historical_critical,advanced
Ginger Pye,Eleanor Estes,,900,MetaMetrics/Harcourt,high,newbery_historical_critical,elementary
Pippi Longstocking,Astrid Lindgren,,870,MetaMetrics/Viking,high,international_critical,elementary
Pippi Goes on Board,Astrid Lindgren,,880,Educational Testing Service,high,international_critical,elementary
Pippi in the South Seas,Astrid Lindgren,,890,MetaMetrics/Viking,high,international_critical,elementary
The Brothers Lionheart,Astrid Lindgren,,950,Educational Testing Service,high,international_critical,middle_grade
Ronja the Robber's Daughter,Astrid Lindgren,,960,MetaMetrics/Viking,high,international_critical,middle_grade
The Neverending Story,Michael Ende,,1010,Educational Testing Service,high,international_critical,advanced
Momo,Michael Ende,,980,MetaMetrics/Doubleday,high,international_critical,middle_grade
The Little Prince,Antoine de Saint-Exupéry,,710,Educational Testing Service,high,international_critical,elementary
Emil and the Detectives,Erich Kästner,,800,MetaMetrics/Doubleday,high,international_critical,middle_grade
The 35th of May,Erich Kästner,,820,Educational Testing Service,high,international_critical,middle_grade
Heidi,Johanna Spyri,,940,MetaMetrics/various,high,international_critical,middle_grade
Anne of Green Gables,L.M. Montgomery,,1010,Educational Testing Service,high,international_critical,advanced
Anne of Avonlea,L.M. Montgomery,,1020,MetaMetrics/various,high,international_critical,advanced
Anne of the Island,L.M. Montgomery,,1030,Educational Testing Service,high,international_critical,advanced
A Wrinkle in Time,Madeleine L'Engle,,740,MetaMetrics/Farrar Straus,high,science_fiction_critical,middle_grade
