title,author,goodreads_url,ol_title,ol_author,cover_url,openlibrary_url,description,title_clean,author_clean,reading_level_sources,has_level_data,reading_level_estimate,summary_gpt,themes,tone,age_range_llm,reading_level_llm,complexity_analysis,reading_confidence_llm,llm_skipped,skip_reason,enriched_lexile_score,enrichment_source,confidence_level,priority_category
"Harold and the Purple Crayon (Harold, #1)",Crockett Johnson,https://www.goodreads.com/book/show/98573.Harold_and_the_Purple_Crayon,Harold and the Purple Crayon,Crockett Johnson,https://covers.openlibrary.org/b/id/50758-L.jpg,https://openlibrary.org/works/OL3544186W,"""Harold loves animals so much that he decides to find out what it's like to be one. Join Harold and an elephant, a camel, a herd of cheetahs, and a slippery bunch of penguins on this wildlife adventure in his imagination.""--P. [4] cover.","Harold And The Purple Crayon (Harold, #1)",Crockett Johnson,"{""llm_analysis"": {""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 1.0, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 1.0, ""source"": ""llm_analysis""}","A young boy named Harold uses his purple crayon to go on imaginative adventures with various animals, exploring what it's like to be different creatures.","imagination, exploration, creativity",whimsical,3-5,Early Readers (3-5),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",1.0,,,,,,
"The Tale of Peter Rabbit (World of Beatrix Potter, #1)",Beatrix Potter,https://www.goodreads.com/book/show/19321.The_Tale_of_Peter_Rabbit,The Tale of Peter Rabbit,Beatrix Potter,https://covers.openlibrary.org/b/id/2557658-L.jpg,https://openlibrary.org/works/OL26460746W,One of the best known and loved children's stories is the story of naughty Peter Rabbit and his misadventures as he is chased around a garden.,"The Tale Of Peter Rabbit (World Of Beatrix Potter, #1)",Beatrix Potter,"{""llm_analysis"": {""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""gpt_analysis_fix""}}",True,"{""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}",The Tale of Peter Rabbit follows the mischievous Peter Rabbit as he gets into trouble in a garden.,"responsibility, adventure, emotions",playful,3-5,Early Readers (3-5),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.8,False,,,,,
"Cloudy with a Chance of Meatballs (Cloudy with a Chance of Meatballs, #1)",Judi Barrett,https://www.goodreads.com/book/show/8073.Cloudy_with_a_Chance_of_Meatballs,Cloudy with a chance of meatballs,Judi Barrett,https://covers.openlibrary.org/b/id/433530-L.jpg,https://openlibrary.org/works/OL39178W,"Life is delicious in the town of Chewandswallow where it rains soup and juice, snows mashed potatoes, and blows storms of hamburgers--until the weather takes a turn for the worse.","Cloudy With A Chance Of Meatballs (Cloudy With A Chance Of Meatballs, #1)",Judi Barrett,"{""llm_analysis"": {""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","In a town where food falls from the sky, the weather starts causing problems for the residents.","food, weather, community",whimsical,3-5,Early Readers (3-5),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,,,
The Secret Garden,Frances Hodgson Burnett,https://www.goodreads.com/book/show/2998.The_Secret_Garden,The Secret Garden,Frances Hodgson Burnett,https://covers.openlibrary.org/b/id/12622062-L.jpg,https://openlibrary.org/works/OL69612W,A ten-year-old orphan comes to live in a lonely house on the Yorkshire moors where she discovers an invalid cousin and the mysteries of a locked garden.,The Secret Garden,Frances Hodgson Burnett,"{""llm_analysis"": {""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","An orphan girl moves to a deserted house on the moors, where she uncovers secrets in a hidden garden.","friendship, healing, nature, growth",hopeful,9-12,Intermediate Readers (9-12),"{""vocabulary"": ""moderate"", ""sentence_structure"": ""moderate"", ""concepts"": ""mixed""}",0.9,,,,,,
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,Alice's Adventures in Wonderland / Through the Looking Glass,Lewis Carroll,https://covers.openlibrary.org/b/id/8595966-L.jpg,https://openlibrary.org/works/OL151411W,"A very real little girl named Alice follows a remarkable rabbit down a rabbit hole and steps through a looking-glass to come face to face with some of the strangest adventures and some of the oddest characters in all literature. The crusty Duchess, the Mad Hatter, the weeping Mock Turtle, the diabolical Queen of Hearts, the Cheshire-Cat, Tweedledum and Tweedledee--each one is more eccentric, and more entertaining, than the last. And all of them could only have come from the pen of Lewis Carroll, one of the few adults ever to enter successfully the children's world of make-believe--a wonderland where the impossible becomes possible, the unreal, real...where the heights of adventure are limited only by the depths of imagination.
--back cover

Contains:

 - [Alice's Adventures in Wonderland](https://openlibrary.org/works/OL8193508W)
 - [Through the Looking Glass, and What Alice Found There][2]

  [2]: https://openlibrary.org/works/OL15298516W",Alice’S Adventures In Wonderland / Through The Looking-Glass,Lewis Carroll,"{""llm_analysis"": {""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}",A little girl named Alice embarks on strange and whimsical adventures after following a rabbit down a rabbit hole and stepping through a looking-glass.,"imagination, fantasy, adventure",whimsical,6-8,Beginning Readers (6-8),"{""vocabulary"": ""moderate"", ""sentence_structure"": ""moderate"", ""concepts"": ""mixed""}",0.9,,,,,,
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,The Chronicles of Narnia,C.S. Lewis,https://covers.openlibrary.org/b/id/9321656-L.jpg,https://openlibrary.org/works/OL70988W,"Journeys to the end of the world, fantastic creatures, and epic battle between good and evil - what more could any reader ask for in one book? The book that has it all is THE LION, THE WITCH AND THE WARDROBE, written in 1919 by C.S. Lewis. But Lewis did not stop there. Six more books followed and together they became known as The Chronicles of Narnia.

For the past fifty years, The Chronicles of Narnia has transcended the fantasy genre to become part of the canon of classic literature. Each of the seven books is a masterpiece, drawing the reader into a world where magic meets reality, and the result is a fictional world whose scope has fascinated generations.

This edition presents all seven books - unabridged - in one impressive volume. The books are presented here according to Lewis's preferred order, each chapter graced with an illustration by the original artist, Pauline Baynes. This edition also contains C. S. Lewis's essay ""On Three Ways of Writing for Children,"" in which he explains precisely how the magic of Narnia and the realm of fantasy appeal not only to children but to discerning readers of all ages. Deceptively simple and direct, The Chronicles of Narnia continue to captivate fans with adventures, characters, and truths that speak to all readers, even fifty years after the books were first published.
--front flap

Contains:
The Magician's Nephew; [The Lion, the Witch and the Wardrobe](https://openlibrary.org/works/OL71175W); The Horse and His Boy; Prince Caspian; The Voyage of the Dawn Treader; The Silver Chair; and The Last Battle.","The Chronicles Of Narnia (The Chronicles Of Narnia, #1-7)",C.S. Lewis,"{""llm_analysis"": {""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}",A The Chronicles of Narnia captivates readers with its rich storytelling and imaginative adventures.,"fantasy, good vs. evil, magic, morality",whimsical,9-12,Intermediate Readers (9-12),"{""vocabulary"": ""moderate"", ""sentence_structure"": ""moderate"", ""concepts"": ""mixed""}",0.9,,,960.0,MetaMetrics/HarperCollins,high,ultimate_expansion
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables,Anne of Green Gables,Lucy Maud Montgomery,https://covers.openlibrary.org/b/id/14641084-L.jpg,https://openlibrary.org/works/OL77746W,"Anne, an eleven-year-old orphan, is sent by mistake to live with a lonely, middle-aged brother and sister on a Prince Edward Island farm and proceeds to make an indelible impression on everyone around her.","Anne Of Green Gables (Anne Of Green Gables, #1)",L.M. Montgomery,"{""llm_analysis"": {""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","An eleven-year-old orphan named Anne is mistakenly sent to live with a lonely brother and sister on a farm, where she leaves a lasting impact on those around her.","friendship, imagination, belonging, identity",heartwarming,9-12,Intermediate Readers (9-12),"{""vocabulary"": ""moderate"", ""sentence_structure"": ""moderate"", ""concepts"": ""mixed""}",0.9,,,990.0,MetaMetrics/Bantam,high,ultimate_expansion
"Amelia Bedelia  (Amelia Bedelia, #1)",Peggy Parish,https://www.goodreads.com/book/show/774001.Amelia_Bedelia,Amelia Bedelia,Peggy Parish,https://covers.openlibrary.org/b/id/33823-L.jpg,https://openlibrary.org/works/OL1932963W,A literal-minded housekeeper causes chaos in the Rogers household when she attempts to make sense of some instructions.,"Amelia Bedelia (Amelia Bedelia, #1)",Peggy Parish,"{""llm_analysis"": {""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}",A literal-minded housekeeper causes chaos in the Rogers household when she attempts to make sense of some instructions.,"humor, misunderstanding, communication",humorous,6-8,Beginning Readers (6-8),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,,,
The Stinky Cheese Man and Other Fairly Stupid Tales,Jon Scieszka,https://www.goodreads.com/book/show/407429.The_Stinky_Cheese_Man_and_Other_Fairly_Stupid_Tales,The Stinky Cheese Man and Other Fairly Stupid Tales,Jon Scieszka,https://covers.openlibrary.org/b/id/2547013-L.jpg,https://openlibrary.org/works/OL39518W,"The Stinky Cheese Man and Other Fairly Stupid Tales is the ultimate in fractured fairy tales. Not only do the characters create their own stories, they also design the structure of the book itself. Classic fairy tales are deconstructed and rewritten with different but recognizable names, such as The Princess and the Bowling Ball, The Really Ugly Duckling, The Tortoise and the Hair and Chicken Licken. These stories and their characters intersect and create a mish-mash of narratives. Scieszka also mocks the conventions of books in general; the title page, dedication, and even the public information page have all been deconstructed. For example, Scieszka sneaks in the line “Anyone caught telling these fairly stupid tales will be visited, in person, by the Stinky Cheese Man” on the publication data page.",The Stinky Cheese Man And Other Fairly Stupid Tales,Jon Scieszka,"{""llm_analysis"": {""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","The Stinky Cheese Man and Other Fairly Stupid Tales is a collection of fractured fairy tales where characters create their own stories and deconstruct The book itself is designed in a unique way, with humorous twists on traditional story elements.","humor, parody, creativity",humorous,6-8,Beginning Readers (6-8),"{""vocabulary"": ""moderate"", ""sentence_structure"": ""simple"", ""concepts"": ""mixed""}",0.9,,,630,Educational Testing Service,high,maximum_expansion
Stellaluna,Janell Cannon,https://www.goodreads.com/book/show/786256.Stellaluna,Stellaluna,Janell Cannon,https://covers.openlibrary.org/b/id/11026591-L.jpg,https://openlibrary.org/works/OL86707W,"Stellaluna is a 1993 children's book by Janell Cannon about a young fruit bat, Stellaluna, who becomes separated from her mother and finds her way to a nest of birds. She is adopted by them and learns bird-like behavior. Eventually, Stellaluna finds other bats and reunites with her mother, and she learns how to behave like a bat. She introduces the birds to her bat family. Stellaluna and the birds decide that, despite their many differences, they are still friends.

Stellaluna was a New York Times bestseller, appeared on the National Education Association's list of ""Teachers' Top 100 Books for Children"", and won several awards, including the 1996 Grammy Award for Best Spoken Word Album for Children.",Stellaluna,Janell Cannon,"{""llm_analysis"": {""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","Stellaluna is a story about a young fruit bat who is separated from her mother and adopted by birds. She eventually reunites with her bat family and learns to embrace her true identity, while teaching the birds about acceptance and friendship.","identity, acceptance, friendship, family",heartwarming,3-5,Early Readers (3-5),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,,,
The Poky Little Puppy,Janette Sebring Lowrey,https://www.goodreads.com/book/show/505304.The_Poky_Little_Puppy,The Poky Little Puppy,Janette Sebring Lowrey,https://covers.openlibrary.org/b/id/6458184-L.jpg,https://openlibrary.org/works/OL2810612W,A puppy who is always late coming home one night finds there is no dessert for him.,The Poky Little Puppy,Janette Sebring Lowrey,"{""llm_analysis"": {""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}",A puppy who is always late coming home one night finds there is no dessert for him.,"responsibility, patience, consequences",whimsical,3-5,Early Readers (3-5),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,,,
The Rainbow Fish,Marcus Pfister,https://www.goodreads.com/book/show/766020.The_Rainbow_Fish,The Rainbow Fish,Marcus Pfister,https://covers.openlibrary.org/b/id/9013570-L.jpg,https://openlibrary.org/works/OL507216W,The most beautiful fish in the entire ocean discovers the real value of personal beauty and friendship.,The Rainbow Fish,Marcus Pfister,"{""llm_analysis"": {""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 1.0, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 1.0, ""source"": ""llm_analysis""}",A beautiful fish in the ocean learns the importance of personal beauty and friendship.,"friendship, self-acceptance, sharing",uplifting,3-5,Early Readers (3-5),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",1.0,,,,,,
Make Way for Ducklings,Robert McCloskey,https://www.goodreads.com/book/show/29291.Make_Way_for_Ducklings,Make Way for Ducklings,Robert McCloskey,https://covers.openlibrary.org/b/id/400659-L.jpg,https://openlibrary.org/works/OL4638367W,"First published in 1941, the book tells the story of a pair of mallard ducks who decide to raise their family on an island in the lagoon in Boston Public Garden, a park in the center of Boston, Massachusetts. <sup>[1][1]</sup>


  [1]: http://en.wikipedia.org/wiki/Make_Way_for_Ducklings",Make Way For Ducklings,Robert Mccloskey,"{""llm_analysis"": {""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 1.0, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 1.0, ""source"": ""llm_analysis""}",A story about a pair of mallard ducks who choose to raise their family in Boston Public Garden.,"family, adventure, community",heartwarming,3-5,Early Readers (3-5),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",1.0,,,,,,
