title,author,goodreads_url,ol_title,ol_author,cover_url,openlibrary_url,description,title_clean,author_clean,summary_gpt,themes,tone,age_range
The Velveteen Rabbit,Margery Williams Bianco,https://www.goodreads.com/book/show/144974.The_Velveteen_Rabbit,The Velveteen Rabbit,Margery Williams Bianco,https://covers.openlibrary.org/b/id/8783171-L.jpg,https://openlibrary.org/works/OL812053W,"The Rabbit in the stocking isn't as expensive as the other toys: he's covered in velveteen. On Christmas Day, the Boy enjoys his new toy but then quickly forgets and neglects him. Shunned and unsure, the Velveteen Rabbit questions his worth. Should he even be called a real toy? An answer comes from his friend, the Skin Horse: ""Real isn't how you are made. . . .It's a thing that happens to you. When a child loves you for a long, long time, not just to play with, but REALLY loves you, then you become Real."" The Velveteen Rabbit's journey through love and loneliness to become who he was really meant to be is a story that inspires us all on our own journey to Real.

The Velveteen Rabbit is a timeless tale of friendship, love, acceptance and honesty. When the world seems uncertain, Margery Williams's classic story reminds all of us what really matters.

The type in this edition has been reset to emphasize the poetry of the language and to bring out the depth of sentiment in the story. William Nicholson's 1922 illustrations, which have delighted generations of readers, are rendered in full-color just as they appeared in the original edition of The Velveteen Rabbit. Together words and pictures create a world so much like our own, and yet so delightfully magical.",The Velveteen Rabbit,Margery Williams Bianco,"A velveteen rabbit questions his worth as a toy when he is neglected . Through the guidance of the Skin Horse, he learns that becoming 'Real' is about being truly loved over time.","friendship, love, acceptance, loneliness",heartwarming,6-8
How the Grinch Stole Christmas!,Dr. Seuss,https://www.goodreads.com/book/show/113946.How_the_Grinch_Stole_Christmas_,How the Grinch Stole Christmas!,Dr. Seuss,https://covers.openlibrary.org/b/id/12055-L.jpg,https://openlibrary.org/works/OL261169W,"The Grinch tries to stop Christmas from arriving by stealing all the presents and food from the village, but much to his surprise it comes anyway. Could Christmas be more than presents?",How The Grinch Stole Christmas!,Dr. Seuss,"A grumpy character tries to ruin Christmas and food, but learns a valuable lesson in the end.","Christmas, generosity, redemption",heartwarming,4-8
The Monster at the End of this Book,Jon Stone,https://www.goodreads.com/book/show/44186.The_Monster_at_the_End_of_this_Book,The Monster at the End of This Book,Jon Stone,https://covers.openlibrary.org/b/id/8580217-L.jpg,https://openlibrary.org/works/OL3009031W,"Is there a monster at the end of this book? Lovable, furry old Grover believes that there is, and he will try anything to stop you from turning the pages to find him! The Monster at the End of This Book, the bestselling Sesame Street book of all time, is an exciting and highly original tale that children will want to read again and again.",The Monster At The End Of This Book,Jon Stone,A Children will enjoy the interactive and humorous story.,"curiosity, friendship, fear, bravery",humorous,3-5
Chicka Chicka Boom Boom,Bill Martin Jr.,https://www.goodreads.com/book/show/293595.Chicka_Chicka_Boom_Boom,Chicka chicka boom boom,Bill Martin Jr.,https://covers.openlibrary.org/b/id/1320266-L.jpg,https://openlibrary.org/works/OL59121W,An alphabet rhyme/chant that relates what happens when the whole alphabet tries to climb a coconut tree.,Chicka Chicka Boom Boom,Bill Martin Jr.,A playful alphabet rhyme about the chaos that ensues when the letters of the alphabet try to climb a coconut tree.,"alphabet, cooperation, challenge",playful,3-5
The Little Prince,Antoine de Saint-Exupéry,https://www.goodreads.com/book/show/157993.The_Little_Prince,A day with the little prince,Antoine de Saint-Exupéry,https://covers.openlibrary.org/b/id/10746692-L.jpg,https://openlibrary.org/works/OL24259583W,"""The Little Prince tends his small planet--then enjoys the warm glow of sunset.""",The Little Prince,Antoine De Saint-Exupéry,A young prince takes care of his small planet and finds joy in watching the sunset.,"friendship, imagination, appreciation",whimsical,6-8
"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,https://www.goodreads.com/book/show/7770.One_Fish_Two_Fish_Red_Fish_Blue_Fish,"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,https://covers.openlibrary.org/b/id/12096-L.jpg,https://openlibrary.org/works/OL261202W,"A story-poem about the activities of such unusual animals as the Nook, Wump, Yink, Yop, Gack, and the Zeds.","One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,A whimsical story-poem featuring an array of unusual animals and their activities.,"imagination, friendship, creativity",whimsical,3-5
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,https://www.goodreads.com/book/show/759611.Brown_Bear_Brown_Bear_What_Do_You_See_,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,https://covers.openlibrary.org/b/id/12624136-L.jpg,https://openlibrary.org/works/OL59133W,"Children see a variety of animals, each one a different color, and a teacher looking at them.","Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,A simple story where children observe animals of different colors with a teacher.,"colors, animals, observation",educational,3-5
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,https://www.goodreads.com/book/show/46677.Alexander_and_the_Terrible_Horrible_No_Good_Very_Bad_Day,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,https://covers.openlibrary.org/b/id/433572-L.jpg,https://openlibrary.org/works/OL1932036W,"On a day when everything goes wrong for him, Alexander is consoled by the thought that other people have bad days too.","Alexander And The Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,"A boy named Alexander has a series of mishaps in one day, but finds comfort in knowing others also have bad days.","resilience, empathy, perspective",empathetic,6-8
Matilda,Roald Dahl,https://www.goodreads.com/book/show/39988.Matilda,Matilda,Roald Dahl,https://covers.openlibrary.org/b/id/12889769-L.jpg,https://openlibrary.org/works/OL45846W,"No podemos resistirnos a Matilda y recomendar a su autor a los niños que no lo conozcan. Matilda debe poner orden en una escuela poco acogedora porque sus profesores no están a la altura de su profesión. Pero el humor, la ironía y también la ternura harán que la escuela termine siendo un lugar amable donde ayuden a los niños a crecer y a leer. Roald Dahl decía que todos los niños tenían una brasa y que alguien debe encender el fuego y mantenerlo encendido. La escuela tiene este papel que cumplir porque de ello depende la luz del mundo.

Source: [1], back cover


  [1]: https://archive.org/details/matilda00roal",Matilda,Roald Dahl,"Matilda transforms a unwelcoming school with humor, irony, and kindness, creating a nurturing environment for children to learn and grow. The story highlights the importance of education and the impact teachers have on students.","education, kindness, growth, humor",whimsical,8-12
Are You My Mother?,P.D. Eastman,https://www.goodreads.com/book/show/197084.Are_You_My_Mother_,Are You My Mother?,P. D. Eastman,https://covers.openlibrary.org/b/id/538265-L.jpg,https://openlibrary.org/works/OL517221W,"The must-have, heartwarming and hilarious classic about a baby bird in search of his mother!

A baby bird goes in search of his mother in this hilarious Beginner Book edited by Dr. Seuss. When a mother bird's egg starts to jump, she hurries off to make sure she has something for her little one to eat. But as soon as she's gone, out pops the baby bird. He immediately sets off to find his mother, but not knowing what she looks like makes it a challenge. The little hatchling is determined to find his mother, even after meeting a kitten, a hen, a dog, and a Snort. The timeless message of the bond between mother and child make P. D. Eastman's Are You My Mother? a treasured classic. 

Originally created by Dr. Seuss, Beginner Books encourage children to read all by themselves, with simple words and illustrations that give clues to their meaning.",Are You My Mother?,P.D. Eastman,"A baby bird goes in search of his mother in this The little hatchling encounters various animals on his journey, determined to find his mother.","family, love, adventure",heartwarming,3-5
"Oh, the Places You’ll Go!",Dr. Seuss,https://www.goodreads.com/book/show/191139.Oh_the_Places_You_ll_Go_,"Oh, the Places You'll Go!",Dr. Seuss,https://covers.openlibrary.org/b/id/5020952-L.jpg,https://openlibrary.org/works/OL261196W,"In this joyous ode to life, Dr. Seuss addresses graduates of all ages, from nursery school to medical school, and gives them the get-up-and-go to move mountains with the unrivaled exuberance and charm that have made Dr. Seuss's books favorites for years.","Oh, The Places You’Ll Go!",Dr. Seuss,A celebratory book that motivates readers of all ages to reach for their dreams with enthusiasm and charm.,"celebration, motivation, dreams, enthusiasm",joyous,3-8
The Secret Garden,Frances Hodgson Burnett,https://www.goodreads.com/book/show/2998.The_Secret_Garden,The Secret Garden,Frances Hodgson Burnett,https://covers.openlibrary.org/b/id/12622062-L.jpg,https://openlibrary.org/works/OL69612W,A ten-year-old orphan comes to live in a lonely house on the Yorkshire moors where she discovers an invalid cousin and the mysteries of a locked garden.,The Secret Garden,Frances Hodgson Burnett,"An orphaned ten-year-old girl moves to a remote house on the Yorkshire moors, where she uncovers secrets within a locked garden.","friendship, healing, nature",hopeful,8-12
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,Alice's Adventures in Wonderland / Through the Looking Glass,Lewis Carroll,https://covers.openlibrary.org/b/id/8595966-L.jpg,https://openlibrary.org/works/OL151411W,"A very real little girl named Alice follows a remarkable rabbit down a rabbit hole and steps through a looking-glass to come face to face with some of the strangest adventures and some of the oddest characters in all literature. The crusty Duchess, the Mad Hatter, the weeping Mock Turtle, the diabolical Queen of Hearts, the Cheshire-Cat, Tweedledum and Tweedledee--each one is more eccentric, and more entertaining, than the last. And all of them could only have come from the pen of Lewis Carroll, one of the few adults ever to enter successfully the children's world of make-believe--a wonderland where the impossible becomes possible, the unreal, real...where the heights of adventure are limited only by the depths of imagination.
--back cover

Contains:

 - [Alice's Adventures in Wonderland](https://openlibrary.org/works/OL8193508W)
 - [Through the Looking Glass, and What Alice Found There][2]

  [2]: https://openlibrary.org/works/OL15298516W",Alice’S Adventures In Wonderland / Through The Looking-Glass,Lewis Carroll,"A little girl named Alice embarks on a fantastical journey through a rabbit hole and a looking-glass, encountering bizarre characters and surreal adventures along the way.","imagination, adventure, fantasy, curiosity",whimsical,8-12
Guess How Much I Love You,Sam McBratney,https://www.goodreads.com/book/show/301736.Guess_How_Much_I_Love_You,Guess How Much I Love You,Sam McBratney,https://covers.openlibrary.org/b/id/13282906-L.jpg,https://openlibrary.org/works/OL58402W,"Welcome the family classic with an elegant, refreshed cover — the quintessential picture book, just waiting to be shared.

Sometimes, when you love someone very, very much, you want to find a way of describing how much you treasure them. But, as Little Nutbrown Hare and Big Nutbrown Hare discover, love is not an easy thing to measure! For two decades, Sam McBratney’s timelessly endearing story, beautifully rendered in Anita Jeram’s exquisite watercolors, has captured the deep and tender bond between parent and child. Guess How Much I Love You is one of the world’s best-loved picture books.",Guess How Much I Love You,Sam Mcbratney,"A Captured in beautiful watercolor illustrations, this","love, bond, family, emotions",heartwarming,3-5
Horton Hears a Who!,Dr. Seuss,https://www.goodreads.com/book/show/7779.Horton_Hears_a_Who_,Horton Hears a Who!,Dr. Seuss,https://covers.openlibrary.org/b/id/422050-L.jpg,https://openlibrary.org/works/OL261228W,A city of Whos on a speck of dust are threatened with destruction until the smallest Who of all helps convince Horton's friends that Whos really exist.,Horton Hears A Who!,Dr. Seuss,A tiny Who helps Horton the elephant save the city of Whos from destruction that they exist.,"friendship, belief, courage",whimsical,3-5
The BFG,Roald Dahl,https://www.goodreads.com/book/show/6319.The_BFG,The BFG,Roald Dahl,https://covers.openlibrary.org/b/id/9176033-L.jpg,https://openlibrary.org/works/OL45885W,"This book is a great book for all ages. It is a fantasy/adventure book.The BFG stands for 'Big Friendly Giant'. He isn't like other giants, instead of going out to different countries to eat children he catches dreams. When he find's a little orphan girl watching him, he kidnaps her because he doesn't want anyone to find out that he was there, but when they arrive at giant's land they become friends and set off into the world to save all the children from the hungry giants.",The Bfg,Roald Dahl,"A young orphan girl is kidnapped by a kind giant who catches dreams instead of eating children. Together, they set off on an adventure to save children from other hungry giants.","friendship, kindness, adventure",whimsical,8-12
The Stinky Cheese Man and Other Fairly Stupid Tales,Jon Scieszka,https://www.goodreads.com/book/show/407429.The_Stinky_Cheese_Man_and_Other_Fairly_Stupid_Tales,The Stinky Cheese Man and Other Fairly Stupid Tales,Jon Scieszka,https://covers.openlibrary.org/b/id/2547013-L.jpg,https://openlibrary.org/works/OL39518W,"The Stinky Cheese Man and Other Fairly Stupid Tales is the ultimate in fractured fairy tales. Not only do the characters create their own stories, they also design the structure of the book itself. Classic fairy tales are deconstructed and rewritten with different but recognizable names, such as The Princess and the Bowling Ball, The Really Ugly Duckling, The Tortoise and the Hair and Chicken Licken. These stories and their characters intersect and create a mish-mash of narratives. Scieszka also mocks the conventions of books in general; the title page, dedication, and even the public information page have all been deconstructed. For example, Scieszka sneaks in the line “Anyone caught telling these fairly stupid tales will be visited, in person, by the Stinky Cheese Man” on the publication data page.",The Stinky Cheese Man And Other Fairly Stupid Tales,Jon Scieszka,The book is a collection of fractured fairy tales where characters create their own stories and even deconstruct the book's structure.,"humor, parody, creativity, subversion",humorous,6-8
Stellaluna,Janell Cannon,https://www.goodreads.com/book/show/786256.Stellaluna,Stellaluna,Janell Cannon,https://covers.openlibrary.org/b/id/11026591-L.jpg,https://openlibrary.org/works/OL86707W,"Stellaluna is a 1993 children's book by Janell Cannon about a young fruit bat, Stellaluna, who becomes separated from her mother and finds her way to a nest of birds. She is adopted by them and learns bird-like behavior. Eventually, Stellaluna finds other bats and reunites with her mother, and she learns how to behave like a bat. She introduces the birds to her bat family. Stellaluna and the birds decide that, despite their many differences, they are still friends.

Stellaluna was a New York Times bestseller, appeared on the National Education Association's list of ""Teachers' Top 100 Books for Children"", and won several awards, including the 1996 Grammy Award for Best Spoken Word Album for Children.",Stellaluna,Janell Cannon,"A young fruit bat named Stellaluna is separated from her mother and adopted by a nest of birds. She eventually reunites with her bat family, teaching the birds about bats and showing that despite their differences, they can still be friends.","friendship, acceptance, belonging, identity",heartwarming,3-5
