title,author,goodreads_url,ol_title,ol_author,cover_url,openlibrary_url,description,title_clean,author_clean
Corduroy,Don Freeman,https://www.goodreads.com/book/show/231850.Corduroy,Corduroy,Don Freeman,https://covers.openlibrary.org/b/id/1333207-L.jpg,https://openlibrary.org/works/OL4114525W,"A toy bear in a department store wants a number of things, but when a little girl finally buys him he finds what he has always wanted most of all.",Corduroy,Don Freeman
The Lorax,Dr. Seuss,https://www.goodreads.com/book/show/7784.The_Lorax,The Lorax,Dr. Seuss,https://covers.openlibrary.org/b/id/422253-L.jpg,https://openlibrary.org/works/OL261155W,"Long before ""going green"" was mainstream, Dr. Seuss's Lorax spoke for the trees and warned of the dangers of disrespecting the environment. In this cautionary rhyming tale (printed on recycled paper) we learn of the Once-ler, who came across a valley of Truffula Trees and Brown Bar-ba-loots, and how his harvesting of the tufted trees changed the landscape forever. - Publisher. The Lorax is the story of a boy who's looking for answers. Living in a ruined town, this little guy wants to know the story of the Lorax, so he goes to the Once-ler, an elderly inventor/manufacturer. Doc Brown -- ahem, the Once-ler -- tells the boy how the town came to be ruined, and most importantly, what he can do to turn things around. Who exactly was this this Lorax character, what was it doing here, and why was it taken away? These are questions only a man name the Once-ler can answer. The Once-ler's last words to the boy: ""Grow a forest. Protect it from axes that hack./ Then the Lorax/ and all of his friends/ may come back."" - shmoop.com",The Lorax,Dr. Seuss
Madeline,Ludwig Bemelmans,https://www.goodreads.com/book/show/475339.Madeline,Madeline's Rescue,Ludwig Bemelmans,https://covers.openlibrary.org/b/id/973931-L.jpg,https://openlibrary.org/works/OL1981005W,"A hound rescues a schoolgirl from the Seine, becomes a beloved school pet, is chased away by the trustees, and returns with a surprise.",Madeline,Ludwig Bemelmans
The Velveteen Rabbit,Margery Williams Bianco,https://www.goodreads.com/book/show/144974.The_Velveteen_Rabbit,The Velveteen Rabbit,Margery Williams Bianco,https://covers.openlibrary.org/b/id/8783171-L.jpg,https://openlibrary.org/works/OL812053W,"The Rabbit in the stocking isn't as expensive as the other toys: he's covered in velveteen. On Christmas Day, the Boy enjoys his new toy but then quickly forgets and neglects him. Shunned and unsure, the Velveteen Rabbit questions his worth. Should he even be called a real toy? An answer comes from his friend, the Skin Horse: ""Real isn't how you are made. . . .It's a thing that happens to you. When a child loves you for a long, long time, not just to play with, but REALLY loves you, then you become Real."" The Velveteen Rabbit's journey through love and loneliness to become who he was really meant to be is a story that inspires us all on our own journey to Real.

The Velveteen Rabbit is a timeless tale of friendship, love, acceptance and honesty. When the world seems uncertain, Margery Williams's classic story reminds all of us what really matters.

The type in this edition has been reset to emphasize the poetry of the language and to bring out the depth of sentiment in the story. William Nicholson's 1922 illustrations, which have delighted generations of readers, are rendered in full-color just as they appeared in the original edition of The Velveteen Rabbit. Together words and pictures create a world so much like our own, and yet so delightfully magical.",The Velveteen Rabbit,Margery Williams Bianco
How the Grinch Stole Christmas!,Dr. Seuss,https://www.goodreads.com/book/show/113946.How_the_Grinch_Stole_Christmas_,How the Grinch Stole Christmas!,Dr. Seuss,https://covers.openlibrary.org/b/id/12055-L.jpg,https://openlibrary.org/works/OL261169W,"The Grinch tries to stop Christmas from arriving by stealing all the presents and food from the village, but much to his surprise it comes anyway. Could Christmas be more than presents?",How The Grinch Stole Christmas!,Dr. Seuss
The Monster at the End of this Book,Jon Stone,https://www.goodreads.com/book/show/44186.The_Monster_at_the_End_of_this_Book,The Monster at the End of This Book,Jon Stone,https://covers.openlibrary.org/b/id/8580217-L.jpg,https://openlibrary.org/works/OL3009031W,"Is there a monster at the end of this book? Lovable, furry old Grover believes that there is, and he will try anything to stop you from turning the pages to find him! The Monster at the End of This Book, the bestselling Sesame Street book of all time, is an exciting and highly original tale that children will want to read again and again.",The Monster At The End Of This Book,Jon Stone
Chicka Chicka Boom Boom,Bill Martin Jr.,https://www.goodreads.com/book/show/293595.Chicka_Chicka_Boom_Boom,Chicka chicka boom boom,Bill Martin Jr.,https://covers.openlibrary.org/b/id/1320266-L.jpg,https://openlibrary.org/works/OL59121W,An alphabet rhyme/chant that relates what happens when the whole alphabet tries to climb a coconut tree.,Chicka Chicka Boom Boom,Bill Martin Jr.
"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,https://www.goodreads.com/book/show/7770.One_Fish_Two_Fish_Red_Fish_Blue_Fish,"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,https://covers.openlibrary.org/b/id/12096-L.jpg,https://openlibrary.org/works/OL261202W,"A story-poem about the activities of such unusual animals as the Nook, Wump, Yink, Yop, Gack, and the Zeds.","One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,https://www.goodreads.com/book/show/759611.Brown_Bear_Brown_Bear_What_Do_You_See_,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,https://covers.openlibrary.org/b/id/12624136-L.jpg,https://openlibrary.org/works/OL59133W,"Children see a variety of animals, each one a different color, and a teacher looking at them.","Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,https://www.goodreads.com/book/show/46677.Alexander_and_the_Terrible_Horrible_No_Good_Very_Bad_Day,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,https://covers.openlibrary.org/b/id/433572-L.jpg,https://openlibrary.org/works/OL1932036W,"On a day when everything goes wrong for him, Alexander is consoled by the thought that other people have bad days too.","Alexander And The Terrible, Horrible, No Good, Very Bad Day",Judith Viorst
Matilda,Roald Dahl,https://www.goodreads.com/book/show/39988.Matilda,Matilda,Roald Dahl,https://covers.openlibrary.org/b/id/12889769-L.jpg,https://openlibrary.org/works/OL45846W,"No podemos resistirnos a Matilda y recomendar a su autor a los niños que no lo conozcan. Matilda debe poner orden en una escuela poco acogedora porque sus profesores no están a la altura de su profesión. Pero el humor, la ironía y también la ternura harán que la escuela termine siendo un lugar amable donde ayuden a los niños a crecer y a leer. Roald Dahl decía que todos los niños tenían una brasa y que alguien debe encender el fuego y mantenerlo encendido. La escuela tiene este papel que cumplir porque de ello depende la luz del mundo.

Source: [1], back cover


  [1]: https://archive.org/details/matilda00roal",Matilda,Roald Dahl
"Harold and the Purple Crayon (Harold, #1)",Crockett Johnson,https://www.goodreads.com/book/show/98573.Harold_and_the_Purple_Crayon,Harold and the Purple Crayon,Crockett Johnson,https://covers.openlibrary.org/b/id/50758-L.jpg,https://openlibrary.org/works/OL3544186W,"""Harold loves animals so much that he decides to find out what it's like to be one. Join Harold and an elephant, a camel, a herd of cheetahs, and a slippery bunch of penguins on this wildlife adventure in his imagination.""--P. [4] cover.","Harold And The Purple Crayon (Harold, #1)",Crockett Johnson
"The Tale of Peter Rabbit (World of Beatrix Potter, #1)",Beatrix Potter,https://www.goodreads.com/book/show/19321.The_Tale_of_Peter_Rabbit,The Tale of Peter Rabbit,Beatrix Potter,https://covers.openlibrary.org/b/id/2557658-L.jpg,https://openlibrary.org/works/OL26460746W,One of the best known and loved children's stories is the story of naughty Peter Rabbit and his misadventures as he is chased around a garden.,"The Tale Of Peter Rabbit (World Of Beatrix Potter, #1)",Beatrix Potter
Are You My Mother?,P.D. Eastman,https://www.goodreads.com/book/show/197084.Are_You_My_Mother_,Are You My Mother?,P. D. Eastman,https://covers.openlibrary.org/b/id/538265-L.jpg,https://openlibrary.org/works/OL517221W,"The must-have, heartwarming and hilarious classic about a baby bird in search of his mother!

A baby bird goes in search of his mother in this hilarious Beginner Book edited by Dr. Seuss. When a mother bird's egg starts to jump, she hurries off to make sure she has something for her little one to eat. But as soon as she's gone, out pops the baby bird. He immediately sets off to find his mother, but not knowing what she looks like makes it a challenge. The little hatchling is determined to find his mother, even after meeting a kitten, a hen, a dog, and a Snort. The timeless message of the bond between mother and child make P. D. Eastman's Are You My Mother? a treasured classic. 

Originally created by Dr. Seuss, Beginner Books encourage children to read all by themselves, with simple words and illustrations that give clues to their meaning.",Are You My Mother?,P.D. Eastman
"Oh, the Places You’ll Go!",Dr. Seuss,https://www.goodreads.com/book/show/191139.Oh_the_Places_You_ll_Go_,"Oh, the Places You'll Go!",Dr. Seuss,https://covers.openlibrary.org/b/id/5020952-L.jpg,https://openlibrary.org/works/OL261196W,"In this joyous ode to life, Dr. Seuss addresses graduates of all ages, from nursery school to medical school, and gives them the get-up-and-go to move mountains with the unrivaled exuberance and charm that have made Dr. Seuss's books favorites for years.","Oh, The Places You’Ll Go!",Dr. Seuss
"Frog and Toad Are Friends (Frog and Toad, #1)",Arnold Lobel,https://www.goodreads.com/book/show/537296.Frog_and_Toad_Are_Friends,Frog and Toad Are Friends,Arnold Lobel,https://covers.openlibrary.org/b/id/11303047-L.jpg,https://openlibrary.org/works/OL449277W,"Frog and Toad Are Friends is an American children's picture book, written and illustrated by Arnold Lobel and published by Harper & Row in 1970. It inaugurated the Frog and Toad series, whose four books completed by Lobel comprise five easy-to-read short stories each. It was a Caldecott Honor Book, or runner-up for the American Library Association Caldecott Medal, which recognizes the year's best illustration in an American children's picture book.


----------
Also contained in:
[Adventures of Frog and Toad](https://openlibrary.org/works/OL15428561W)
[The Frog and Toad Treasury](https://openlibrary.org/works/OL1973505W)","Frog And Toad Are Friends (Frog And Toad, #1)",Arnold Lobel
"Cloudy with a Chance of Meatballs (Cloudy with a Chance of Meatballs, #1)",Judi Barrett,https://www.goodreads.com/book/show/8073.Cloudy_with_a_Chance_of_Meatballs,Cloudy with a chance of meatballs,Judi Barrett,https://covers.openlibrary.org/b/id/433530-L.jpg,https://openlibrary.org/works/OL39178W,"Life is delicious in the town of Chewandswallow where it rains soup and juice, snows mashed potatoes, and blows storms of hamburgers--until the weather takes a turn for the worse.","Cloudy With A Chance Of Meatballs (Cloudy With A Chance Of Meatballs, #1)",Judi Barrett
The Secret Garden,Frances Hodgson Burnett,https://www.goodreads.com/book/show/2998.The_Secret_Garden,The Secret Garden,Frances Hodgson Burnett,https://covers.openlibrary.org/b/id/12622062-L.jpg,https://openlibrary.org/works/OL69612W,A ten-year-old orphan comes to live in a lonely house on the Yorkshire moors where she discovers an invalid cousin and the mysteries of a locked garden.,The Secret Garden,Frances Hodgson Burnett
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,Alice's Adventures in Wonderland / Through the Looking Glass,Lewis Carroll,https://covers.openlibrary.org/b/id/8595966-L.jpg,https://openlibrary.org/works/OL151411W,"A very real little girl named Alice follows a remarkable rabbit down a rabbit hole and steps through a looking-glass to come face to face with some of the strangest adventures and some of the oddest characters in all literature. The crusty Duchess, the Mad Hatter, the weeping Mock Turtle, the diabolical Queen of Hearts, the Cheshire-Cat, Tweedledum and Tweedledee--each one is more eccentric, and more entertaining, than the last. And all of them could only have come from the pen of Lewis Carroll, one of the few adults ever to enter successfully the children's world of make-believe--a wonderland where the impossible becomes possible, the unreal, real...where the heights of adventure are limited only by the depths of imagination.
--back cover

Contains:

 - [Alice's Adventures in Wonderland](https://openlibrary.org/works/OL8193508W)
 - [Through the Looking Glass, and What Alice Found There][2]

  [2]: https://openlibrary.org/works/OL15298516W",Alice’S Adventures In Wonderland / Through The Looking-Glass,Lewis Carroll
Guess How Much I Love You,Sam McBratney,https://www.goodreads.com/book/show/301736.Guess_How_Much_I_Love_You,Guess How Much I Love You,Sam McBratney,https://covers.openlibrary.org/b/id/13282906-L.jpg,https://openlibrary.org/works/OL58402W,"Welcome the family classic with an elegant, refreshed cover — the quintessential picture book, just waiting to be shared.

Sometimes, when you love someone very, very much, you want to find a way of describing how much you treasure them. But, as Little Nutbrown Hare and Big Nutbrown Hare discover, love is not an easy thing to measure! For two decades, Sam McBratney’s timelessly endearing story, beautifully rendered in Anita Jeram’s exquisite watercolors, has captured the deep and tender bond between parent and child. Guess How Much I Love You is one of the world’s best-loved picture books.",Guess How Much I Love You,Sam Mcbratney
Horton Hears a Who!,Dr. Seuss,https://www.goodreads.com/book/show/7779.Horton_Hears_a_Who_,Horton Hears a Who!,Dr. Seuss,https://covers.openlibrary.org/b/id/422050-L.jpg,https://openlibrary.org/works/OL261228W,A city of Whos on a speck of dust are threatened with destruction until the smallest Who of all helps convince Horton's friends that Whos really exist.,Horton Hears A Who!,Dr. Seuss
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,The Chronicles of Narnia,C.S. Lewis,https://covers.openlibrary.org/b/id/9321656-L.jpg,https://openlibrary.org/works/OL70988W,"Journeys to the end of the world, fantastic creatures, and epic battle between good and evil - what more could any reader ask for in one book? The book that has it all is THE LION, THE WITCH AND THE WARDROBE, written in 1919 by C.S. Lewis. But Lewis did not stop there. Six more books followed and together they became known as The Chronicles of Narnia.

For the past fifty years, The Chronicles of Narnia has transcended the fantasy genre to become part of the canon of classic literature. Each of the seven books is a masterpiece, drawing the reader into a world where magic meets reality, and the result is a fictional world whose scope has fascinated generations.

This edition presents all seven books - unabridged - in one impressive volume. The books are presented here according to Lewis's preferred order, each chapter graced with an illustration by the original artist, Pauline Baynes. This edition also contains C. S. Lewis's essay ""On Three Ways of Writing for Children,"" in which he explains precisely how the magic of Narnia and the realm of fantasy appeal not only to children but to discerning readers of all ages. Deceptively simple and direct, The Chronicles of Narnia continue to captivate fans with adventures, characters, and truths that speak to all readers, even fifty years after the books were first published.
--front flap

Contains:
The Magician's Nephew; [The Lion, the Witch and the Wardrobe](https://openlibrary.org/works/OL71175W); The Horse and His Boy; Prince Caspian; The Voyage of the Dawn Treader; The Silver Chair; and The Last Battle.","The Chronicles Of Narnia (The Chronicles Of Narnia, #1-7)",C.S. Lewis
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables,Anne of Green Gables,Lucy Maud Montgomery,https://covers.openlibrary.org/b/id/14641084-L.jpg,https://openlibrary.org/works/OL77746W,"Anne, an eleven-year-old orphan, is sent by mistake to live with a lonely, middle-aged brother and sister on a Prince Edward Island farm and proceeds to make an indelible impression on everyone around her.","Anne Of Green Gables (Anne Of Green Gables, #1)",L.M. Montgomery
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,https://www.goodreads.com/book/show/6310.Charlie_and_the_Chocolate_Factory,Charlie and the Chocolate Factory,Roald Dahl,https://covers.openlibrary.org/b/id/12459564-L.jpg,https://openlibrary.org/works/OL45790W,"Charlie and the Chocolate Factory is a 1964 children's novel by British author Roald Dahl. The story features the adventures of young Charlie Bucket inside the chocolate factory of eccentric chocolatier Willy Wonka.

Charlie and the Chocolate Factory was first published in the United States by Alfred A. Knopf, Inc. in 1964 and in the United Kingdom by George Allen & Unwin 11 months later. 

In the 2012 survey published by SLJ, a monthly with primarily US audience, Charlie was the second of four books by Dahl among their Top 100 Chapter Books, one more than any other writer. Time magazine in the US included the novel in its list of the 100 Best Young-Adult Books of All Time.","Charlie And The Chocolate Factory (Charlie Bucket, #1)",Roald Dahl
"Amelia Bedelia  (Amelia Bedelia, #1)",Peggy Parish,https://www.goodreads.com/book/show/774001.Amelia_Bedelia,Amelia Bedelia,Peggy Parish,https://covers.openlibrary.org/b/id/33823-L.jpg,https://openlibrary.org/works/OL1932963W,A literal-minded housekeeper causes chaos in the Rogers household when she attempts to make sense of some instructions.,"Amelia Bedelia (Amelia Bedelia, #1)",Peggy Parish
The BFG,Roald Dahl,https://www.goodreads.com/book/show/6319.The_BFG,The BFG,Roald Dahl,https://covers.openlibrary.org/b/id/9176033-L.jpg,https://openlibrary.org/works/OL45885W,"This book is a great book for all ages. It is a fantasy/adventure book.The BFG stands for 'Big Friendly Giant'. He isn't like other giants, instead of going out to different countries to eat children he catches dreams. When he find's a little orphan girl watching him, he kidnaps her because he doesn't want anyone to find out that he was there, but when they arrive at giant's land they become friends and set off into the world to save all the children from the hungry giants.",The Bfg,Roald Dahl
The Stinky Cheese Man and Other Fairly Stupid Tales,Jon Scieszka,https://www.goodreads.com/book/show/407429.The_Stinky_Cheese_Man_and_Other_Fairly_Stupid_Tales,The Stinky Cheese Man and Other Fairly Stupid Tales,Jon Scieszka,https://covers.openlibrary.org/b/id/2547013-L.jpg,https://openlibrary.org/works/OL39518W,"The Stinky Cheese Man and Other Fairly Stupid Tales is the ultimate in fractured fairy tales. Not only do the characters create their own stories, they also design the structure of the book itself. Classic fairy tales are deconstructed and rewritten with different but recognizable names, such as The Princess and the Bowling Ball, The Really Ugly Duckling, The Tortoise and the Hair and Chicken Licken. These stories and their characters intersect and create a mish-mash of narratives. Scieszka also mocks the conventions of books in general; the title page, dedication, and even the public information page have all been deconstructed. For example, Scieszka sneaks in the line “Anyone caught telling these fairly stupid tales will be visited, in person, by the Stinky Cheese Man” on the publication data page.",The Stinky Cheese Man And Other Fairly Stupid Tales,Jon Scieszka
Stellaluna,Janell Cannon,https://www.goodreads.com/book/show/786256.Stellaluna,Stellaluna,Janell Cannon,https://covers.openlibrary.org/b/id/11026591-L.jpg,https://openlibrary.org/works/OL86707W,"Stellaluna is a 1993 children's book by Janell Cannon about a young fruit bat, Stellaluna, who becomes separated from her mother and finds her way to a nest of birds. She is adopted by them and learns bird-like behavior. Eventually, Stellaluna finds other bats and reunites with her mother, and she learns how to behave like a bat. She introduces the birds to her bat family. Stellaluna and the birds decide that, despite their many differences, they are still friends.

Stellaluna was a New York Times bestseller, appeared on the National Education Association's list of ""Teachers' Top 100 Books for Children"", and won several awards, including the 1996 Grammy Award for Best Spoken Word Album for Children.",Stellaluna,Janell Cannon
The Poky Little Puppy,Janette Sebring Lowrey,https://www.goodreads.com/book/show/505304.The_Poky_Little_Puppy,The Poky Little Puppy,Janette Sebring Lowrey,https://covers.openlibrary.org/b/id/6458184-L.jpg,https://openlibrary.org/works/OL2810612W,A puppy who is always late coming home one night finds there is no dessert for him.,The Poky Little Puppy,Janette Sebring Lowrey
The Rainbow Fish,Marcus Pfister,https://www.goodreads.com/book/show/766020.The_Rainbow_Fish,The Rainbow Fish,Marcus Pfister,https://covers.openlibrary.org/b/id/9013570-L.jpg,https://openlibrary.org/works/OL507216W,The most beautiful fish in the entire ocean discovers the real value of personal beauty and friendship.,The Rainbow Fish,Marcus Pfister
Make Way for Ducklings,Robert McCloskey,https://www.goodreads.com/book/show/29291.Make_Way_for_Ducklings,Make Way for Ducklings,Robert McCloskey,https://covers.openlibrary.org/b/id/400659-L.jpg,https://openlibrary.org/works/OL4638367W,"First published in 1941, the book tells the story of a pair of mallard ducks who decide to raise their family on an island in the lagoon in Boston Public Garden, a park in the center of Boston, Massachusetts. <sup>[1][1]</sup>


  [1]: http://en.wikipedia.org/wiki/Make_Way_for_Ducklings",Make Way For Ducklings,Robert Mccloskey
James and the Giant Peach,Roald Dahl,https://www.goodreads.com/book/show/6689.James_and_the_Giant_Peach,James and the Giant Peach,Roald Dahl,https://covers.openlibrary.org/b/id/8252454-L.jpg,https://openlibrary.org/works/OL45809W,"***Roald Dahl's first and most widely celebrated book for young people continues to thrill readers around the world.***

**When James accidentally drops some magic crystals by the old peach tree, strange things start to happen.** The peach at the top of the tree begins to grow, and before long it's as big as a house. When James discovers a secret entrance-way into the fruit and crawls inside, he meets wonderful new friends--the Old-Green-Grasshopper, the dainty Ladybug, and the Centipede of the multiple boots. ***After years of feeling like an outsider in his aunts' house, James finally found a place where he belongs. With a snip of the stem, the peach household starts rolling away--and the adventure begins!***

""This is a stunning book to be cherished for its story, a superb fantasy.""***--Chicago Tribune***

""A beautifully written, fantastic book.""***--Christian Science Monitor***",James And The Giant Peach,Roald Dahl
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time,A Wrinkle in Time,Madeleine L'Engle,https://covers.openlibrary.org/b/id/8709146-L.jpg,https://openlibrary.org/works/OL41495W,"A Wrinkle in Time is a science fiction fantasy novel by American writer Madeleine L'Engle, first published in 1962. It is about Meg And Charles Walence. Their father, who was working on a interesting project called a tesseract, goes missing! Then they meet a boy and some strange women. This story won a Newbery Medal, Sequoyah Book Award and Lewis Carroll Shelf Award For this amazing story! It also has a movie! I Hope you all enjoy!","A Wrinkle In Time (Time Quintet, #1)",Madeleine L'Engle
Don't Let the Pigeon Drive the Bus!,Mo Willems,https://www.goodreads.com/book/show/191113.Don_t_Let_the_Pigeon_Drive_the_Bus_,Don't Let the Pigeon Drive the Bus!,Mo Willems,https://covers.openlibrary.org/b/id/544664-L.jpg,https://openlibrary.org/works/OL5760013W,"No matter how hard he pleads and begs, the pigeon is not supposed to drive the bus while the driver is away, but pigeon tries every persuasive trick a young child knows to get you to say ""Yes.""",Don'T Let The Pigeon Drive The Bus!,Mo Willems
